"Kohteen tila (pakollinen);";"Nykyisen kohteen id (pakollinen);";"VR Track -tunniste;";"Omaisuuslaji (pakollinen);";"Viimeksi muokattu;";"Ehdotettu ajankohta (pakollinen);";"Isännöintialue;";"Käyttökeskusalue;";"Kunnossapitoalue;";"Asetettu kunnossapitoalue;";"Tilirataosa;";"E (ETRS-TM35FIN);";"N (ETRS-TM35FIN);";"E (WGS84);";"N (WGS84);";"E (Generoitu, ETRS-TM35FIN);";"N (Generoitu, ETRS-TM35FIN);";"longitude;";"latitude;";"Sijainnin tarkkuus;";"Ratanumero (pakollinen);";"Sijaintiraide (pakollinen);";"Ratakilometrisijainti (pakollinen);";"Tarkka Ratakilometrisijainti;";"Syöttöaseman tunnus (pakollinen);";"Tyyppi (pakollinen);";"name;";"Omistaja (pakollinen);";"Saneerattu (pakollinen);";"Käyttöönottovuosi;";"Arvioitu käyttöönottopäivä;";"Arvioitu käytöstäpoistopäivä;";"Saneerausvuosi;";"Muutoksen syy (pakollinen);";"Lisätiedot;"
'IN USE;'1.2.246.578.3.184.575728;;'feeder_station;'2024-02-06T10:44Z;;'Itä-Suomi;'Kouvola;'7;;'1702 (Luumäki)–(Vainikkala);;;;;'559601.0936711594;'6753530.037376356;'28.098982910808477;'60.91240339292843;;'213;'213;'0269+0678;'0269+0678;'RPO SA;'1x25kV;'RAIPPO SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.574525;;'feeder_station;'2024-02-06T11:13Z;;'Itä-Suomi;'Kouvola;'6;;'1611 Kotka ratapiha;;;;;'494888.33374567615;'6706875.464285267;'26.906954522833097;'60.49797698110388;;'221;'221 JRI-KTA;'0238+0568;'0238+0568;'HOS SA;'1x25kV;'HOVINSAARI SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.571669;;'feeder_station;'2024-02-06T11:13Z;;'Itä-Suomi;'Kouvola;'6;;'1602 (Kouvola)–Juurikorpi–(Kotka) / (Hamina);;;;;'492334.4626675593;'6726913.043625726;'26.859689565985448;'60.677842583801024;;'221;'221 LR KV-JRI;'0215+0250;'0215+0250;'MRL SA;'1x25kV;'MARINKYLÄ SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.571674;;'feeder_station;'2024-02-06T11:56Z;;'Itä-Suomi;'Kouvola;'6;;'1602 (Kouvola)–Juurikorpi–(Kotka) / (Hamina);;;;;'509061.1232194435;'6716342.95435281;'27.165368560210695;'60.582911254574846;;'222;'222;'0240+0150;'0240+0150;'MLV SA;'1x25kV;'MYLLYVUORI SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362493;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Tampere;'2;;'1203 (Turku)–(Toijala);;;;;'316210.6301080955;'6770269.546800661;'23.59823536979655;'61.024304149672034;;'321;'321;'0170+0287;'0170+0287;'HHS SA;'1x25kV;'Hanhisuo SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362494;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Tampere;'2;;'1203 (Turku)–(Toijala);;;;;'287084.4760986782;'6753474.353798184;'23.07910042327307;'60.859227344730144;;'321;'321;'0207+0180;'0207+0180;'HMI SA;'1x25kV;'Hulmi SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362495;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Tampere;'2;;'1203 (Turku)–(Toijala);;;;;'258143.90761974474;'6730730.650468851;'22.5760877430537;'60.6390746704368;;'321;'321;'0245+0300;'0245+0300;'ORI SA;'1x25kV;'Orimäki SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.774418;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'2;;'1202 (Turku)–Uusikaupunki–Hangonsaari;;;;;'230024.35468732467;'6726777.912685521;'22.06926894885102;'60.58576499323447;;'332;'332;'0219+0800;'0219+0800;'NOU SA;'1x25kV;'NOUSIAINEN SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.774440;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'2;;'1202 (Turku)–Uusikaupunki–Hangonsaari;;;;;'211063.5984431174;'6740909.1162048085;'21.703900921042127;'60.69891131796191;;'332;'332;'0245+0500;'0245+0500;'VEH SA;'1x25kV;'VEHMAA SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362506;;'feeder_station;'2024-02-06T08:11Z;;'Länsi-Suomi;'Tampere;'4;;'1403 (Kokemäki)–(Rauma);;;;;'235697.42409941542;'6796027.063616469;'22.07767179358485;'61.209011063832925;;'342;'342;'0298+0020;'0298+0020;'EKI SA;'1x25kV;'Eurakoski SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362507;;'feeder_station;'2024-02-06T08:11Z;;'Länsi-Suomi;'Tampere;'4;;'1403 (Kokemäki)–(Rauma);;;;;'205394.48481722228;'6790179.579129227;'21.52529248276264;'61.13513488880101;;'342;'342;'0329+0826;'0329+0826;'ÄHÖ SA;'1x25kV;'Äyhö SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362481;;'feeder_station;'2024-02-06T11:14Z;;'Länsi-Suomi;'Tampere;'5;;'1505 (Seinäjoki)–Vaasa–Vaskiluoto;;;;;'274444.8235985929;'6983830.2542787315;'22.557418399611752;'62.914285867759155;;'431;'431;'0438+0250;'0438+0250;'HPO SA;'1x25kV;'Haapoja SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.362482;;'feeder_station;'2024-02-06T11:14Z;;'Länsi-Suomi;'Tampere;'5;;'1505 (Seinäjoki)–Vaasa–Vaskiluoto;;;;;'240200.33725405732;'7000934.593297529;'21.859077012239656;'63.044395128473795;;'431;'431;'0478+0520;'0478+0520;'MSR SA;'1x25kV;'Mustasaari SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.402108;;'feeder_station;'2024-02-06T10:43Z;;'Pohjois-Suomi;'Oulu;'11;;'2105 (Oulu)–(Kontiomäki);;;;;'487576.09032000415;'7158283.455845468;'26.74089381584811;'64.54958349863013;;'531;'531;'0839+0688;'0839+0688;'HUO SA;'2x25kV;'Halmepuronsuo SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.402104;;'feeder_station;'2024-02-06T10:43Z;;'Pohjois-Suomi;'Oulu;'11;;'2106 (Kontiomäki)–Vartius-raja;;;;;'596924.0211481969;'7148663.67893604;'29.0142842614236;'64.44969388912772;;'554;'554;'0707+0255;'0707+0255;'HEI SA;'2x25kV;'Heinipuron SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.402061;;'feeder_station;'2024-02-06T08:11Z;;'Länsi-Suomi;'Oulu;'3;;'1310 Kokkola ratapiha;;;;;'308460.9886071433;'7082775.792321709;'23.107230947977033;'63.819792982007165;;'008;'KOK 541;'0549+0180;'0549+0180;'MES SA;'1x25kV;'Mesilä SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.689912;;'feeder_station;'2024-02-06T10:42Z;;'Etelä-Suomi;'Helsinki;'1;;'1102 (Pasila)–(Riihimäki);;;;;'396000.25706678315;'6699534.3579605585;'25.111370320050447;'60.418710521449555;;'003;'KYT 668;'0030+0500;'0030+0500;'KÖA SA;'1x25kV;'KYTÖMAA SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.915110;;'feeder_station;'2024-02-06T08:11Z;;'Länsi-Suomi;'Tampere;'4;;'1402 (Pori)–Mäntyluoto/Tahkoluoto;;;;;'210440.34649842663;'6839301.621554502;'21.542426895931072;'61.57790555041005;;'002;'MN 935;'0339+0915;'0339+0915;'MN SA;'1x25kV;'Mäntyluoto SA;'Väylävirasto;;;;;;;
'IN USE;'1.2.246.578.3.184.715068;;'feeder_station;'2024-02-06T08:11Z;;'Etelä-Suomi;'Helsinki;'1;;'1110 Pasila ratapiha;;;;;'385322.6418644828;'6676028.04431868;'24.930994220861397;'60.20490103497605;;'PAU 102;'PAU 121;'0003+0900;'0003+0900;'ILA SA;'1x25kV;'ILMALA SA;'Väylävirasto;;;;;;;
